有價證券代號,有價證券名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
 上櫃認購(售)權證  ,,,,,,,
700001,欣銓元大53購04,TW25Z7000016,2025/10/01,上櫃,,RWSCCA,
700002,長佳智元大53購02,TW25Z7000024,2025/10/01,上櫃,,RWSCCA,
700003,威剛元大53購10,TW25Z7000032,2025/10/01,上櫃,,RWSCCA,
700004,原相元大53購08,TW25Z7000040,2025/10/01,上櫃,,RWSCCA,
700005,能率元大53購04,TW25Z7000057,2025/10/01,上櫃,,RWSCCA,
700006,鈊象元大53購08,TW25Z7000065,2025/10/01,上櫃,,RWSCCA,
700007,鈊象元大53購09,TW25Z7000073,2025/10/01,上櫃,,RWSCCA,
700008,新應材元大56購02,TW25Z7000081,2025/10/01,上櫃,,RWSCCA,
700009,萬潤元大53購03,TW25Z7000099,2025/10/01,上櫃,,RWSCCA,
700010,萬潤元大56購01,TW25Z7000107,2025/10/01,上櫃,,RWSCCA,
700011,聖暉*元大53購05,TW25Z7000115,2025/10/01,上櫃,,RWSCCA,
700012,廣明元大53購10,TW25Z7000123,2025/10/01,上櫃,,RWSCCA,
700013,雙鴻元大53購09,TW25Z7000131,2025/10/01,上櫃,,RWSCCA,
700014,雙鴻元大53購10,TW25Z7000149,2025/10/01,上櫃,,RWSCCA,
700015,原相富邦54購01,TW25Z7000156,2025/10/01,上櫃,,RWSCCE,
700016,博智富邦56購01,TW25Z7000164,2025/10/01,上櫃,,RWSCCE,
700017,聖暉*富邦54購01,TW25Z7000172,2025/10/01,上櫃,,RWSCCE,
700018,雙鴻富邦56購02,TW25Z7000180,2025/10/01,上櫃,,RWSCCE,
700019,宏捷科統一5C購01,TW25Z7000198,2025/10/01,上櫃,,RWSCCA,
700020,佳邦統一5C購01,TW25Z7000206,2025/10/01,上櫃,,RWSCCA,
700021,長佳智統一5C購02,TW25Z7000214,2025/10/01,上櫃,,RWSCCA,
700022,華星光統一5C購01,TW25Z7000222,2025/10/01,上櫃,,RWSCCA,
700023,新應材統一5B購02,TW25Z7000230,2025/10/01,上櫃,,RWSCCA,
700024,新應材統一64購02,TW25Z7000248,2025/10/01,上櫃,,RWSCCA,
700025,雙鴻統一5B購01,TW25Z7000255,2025/10/01,上櫃,,RWSCCA,
700026,新應材中信53購01,TW25Z7000263,2025/10/01,上櫃,,RWSCCE,
700027,新應材中信57購01,TW25Z7000271,2025/10/01,上櫃,,RWSCCE,
700028,雙鴻中信59購01,TW25Z7000289,2025/10/01,上櫃,,RWSCCE,
700029,均豪元富54購02,TW25Z7000297,2025/10/01,上櫃,,RWSCCA,
700030,均豪元富54購03,TW25Z7000305,2025/10/01,上櫃,,RWSCCA,
700031,金山電元富53購01,TW25Z7000313,2025/10/01,上櫃,,RWSCCA,
700032,金山電元富54購01,TW25Z7000321,2025/10/01,上櫃,,RWSCCA,
700033,能率元富54購02,TW25Z7000339,2025/10/01,上櫃,,RWSCCA,
700034,閎康元富54購01,TW25Z7000347,2025/10/01,上櫃,,RWSCCA,
700035,閎康元富54購02,TW25Z7000354,2025/10/01,上櫃,,RWSCCA,
700036,鈊象元富53購06,TW25Z7000362,2025/10/01,上櫃,,RWSCCA,
700037,新應材元富53購03,TW25Z7000370,2025/10/01,上櫃,,RWSCCA,
700038,新應材元富53購04,TW25Z7000388,2025/10/01,上櫃,,RWSCCA,
700039,雍智元富53購02,TW25Z7000396,2025/10/01,上櫃,,RWSCCA,
700040,廣明元富53購02,TW25Z7000404,2025/10/01,上櫃,,RWSCCA,
700041,新應材永豐53購05,TW25Z7000412,2025/10/01,上櫃,,RWSCCA,
700042,新應材永豐56購02,TW25Z7000420,2025/10/01,上櫃,,RWSCCA,
700043,新應材永豐59購01,TW25Z7000438,2025/10/01,上櫃,,RWSCCA,
700044,廣明永豐56購01,TW25Z7000446,2025/10/01,上櫃,,RWSCCA,
700045,龍巖永豐54購01,TW25Z7000453,2025/10/01,上櫃,,RWSCCA,
700046,雙鴻永豐54購05,TW25Z7000461,2025/10/01,上櫃,,RWSCCA,
700047,宏捷科凱基59購01,TW25Z7000479,2025/10/01,上櫃,,RWSCCA,
700048,茂迪凱基53購01,TW25Z7000487,2025/10/01,上櫃,,RWSCCA,
700049,家登凱基53購03,TW25Z7000495,2025/10/01,上櫃,,RWSCCA,
700050,能率凱基56購02,TW25Z7000503,2025/10/01,上櫃,,RWSCCA,
700051,萬潤凱基54購04,TW25Z7000511,2025/10/01,上櫃,,RWSCCA,
700052,廣明凱基54購04,TW25Z7000529,2025/10/01,上櫃,,RWSCCA,
700053,優群凱基53購02,TW25Z7000537,2025/10/01,上櫃,,RWSCCA,
700054,雙鴻凱基56購03,TW25Z7000545,2025/10/01,上櫃,,RWSCCA,
700055,穩懋凱基53購04,TW25Z7000552,2025/10/01,上櫃,,RWSCCA,
700056,系統電第一54購01,TW25Z7000560,2025/10/02,上櫃,,RWSCCE,
700057,中光電國票57購02,TW25Z7000578,2025/10/02,上櫃,,RWSCCA,
700058,弘塑國票58購01,TW25Z7000586,2025/10/02,上櫃,,RWSCCA,
700059,生合國票56購02,TW25Z7000594,2025/10/02,上櫃,,RWSCCA,
700060,東洋國票56購01,TW25Z7000602,2025/10/02,上櫃,,RWSCCA,
700061,金山電國票55購01,TW25Z7000610,2025/10/02,上櫃,,RWSCCA,
700062,信立國票55購01,TW25Z7000628,2025/10/02,上櫃,,RWSCCA,
700063,茂達國票55購01,TW25Z7000636,2025/10/02,上櫃,,RWSCCA,
700064,意藍國票57購01,TW25Z7000644,2025/10/02,上櫃,,RWSCCA,
700065,系統電統一5A購01,TW25Z7000651,2025/10/02,上櫃,,RWSCCA,
700066,中美晶國泰55購01,TW25Z7000669,2025/10/02,上櫃,,RWSCCA,
700067,系統電國泰55購01,TW25Z7000677,2025/10/02,上櫃,,RWSCCA,
700068,建榮國泰55購01,TW25Z7000685,2025/10/02,上櫃,,RWSCCA,
700069,順達國泰55購01,TW25Z7000693,2025/10/02,上櫃,,RWSCCA,
70006C,元債20富邦56牛01,TW25Z70006C6,2025/06/04,上櫃,,RWBCCE,
700070,良維富邦57購01,TW25Z7000701,2025/10/02,上櫃,,RWSCCE,
700071,華星光富邦54購01,TW25Z7000719,2025/10/02,上櫃,,RWSCCE,
700072,中光電元富54購02,TW25Z7000727,2025/10/02,上櫃,,RWSCCA,
700073,系統電元富54購01,TW25Z7000735,2025/10/02,上櫃,,RWSCCA,
700074,驊訊元富5A購01,TW25Z7000743,2025/10/02,上櫃,,RWSCCA,
700075,印能中信57購01,TW25Z7000750,2025/10/02,上櫃,,RWSCCE,
700076,旺矽中信57購01,TW25Z7000768,2025/10/02,上櫃,,RWSCCE,
700077,系統電永豐58購01,TW25Z7000776,2025/10/02,上櫃,,RWSCCA,
700078,家登永豐56購01,TW25Z7000784,2025/10/02,上櫃,,RWSCCA,
700079,華義永豐5A購01,TW25Z7000792,2025/10/02,上櫃,,RWSCCA,
700080,宏捷科群益54購02,TW25Z7000800,2025/10/02,上櫃,,RWSCCA,
700081,系統電群益54購04,TW25Z7000818,2025/10/02,上櫃,,RWSCCA,
700082,原相群益54購02,TW25Z7000826,2025/10/02,上櫃,,RWSCCA,
700083,家登群益55購01,TW25Z7000834,2025/10/02,上櫃,,RWSCCA,
700084,振曜群益54購02,TW25Z7000842,2025/10/02,上櫃,,RWSCCA,
700085,神盾群益54購01,TW25Z7000859,2025/10/02,上櫃,,RWSCCA,
700086,博智群益5A購01,TW25Z7000867,2025/10/02,上櫃,,RWSCCA,
700087,華景電群益54購01,TW25Z7000875,2025/10/02,上櫃,,RWSCCA,
700088,萬潤群益54購01,TW25Z7000883,2025/10/02,上櫃,,RWSCCA,
700089,廣明群益54購03,TW25Z7000891,2025/10/02,上櫃,,RWSCCA,
700090,雙鴻群益54購02,TW25Z7000909,2025/10/02,上櫃,,RWSCCA,
700091,M31凱基54購02,TW25Z7000917,2025/10/02,上櫃,,RWSCCA,
700092,中光電凱基58購01,TW25Z7000925,2025/10/02,上櫃,,RWSCCA,
700093,台燿凱基54購05,TW25Z7000933,2025/10/02,上櫃,,RWSCCA,
700094,宏觀凱基54購01,TW25Z7000941,2025/10/02,上櫃,,RWSCCA,
700095,系統電凱基54購01,TW25Z7000958,2025/10/02,上櫃,,RWSCCA,
700096,佳邦凱基55購01,TW25Z7000966,2025/10/02,上櫃,,RWSCCA,
700097,原相凱基54購03,TW25Z7000974,2025/10/02,上櫃,,RWSCCA,
700098,鈊象凱基54購05,TW25Z7000982,2025/10/02,上櫃,,RWSCCA,
700099,鈺太凱基55購01,TW25Z7000990,2025/10/02,上櫃,,RWSCCA,
700100,營邦凱基54購01,TW25Z7001006,2025/10/02,上櫃,,RWSCCA,
700101,M31元大54購02,TW25Z7001014,2025/10/02,上櫃,,RWSCCA,
700102,M31元大56購01,TW25Z7001022,2025/10/02,上櫃,,RWSCCA,
700103,中光電元大5A購01,TW25Z7001030,2025/10/02,上櫃,,RWSCCA,
700104,系統電元大54購02,TW25Z7001048,2025/10/02,上櫃,,RWSCCA,
700105,昇達科元大54購09,TW25Z7001055,2025/10/02,上櫃,,RWSCCA,
700106,威剛元大54購15,TW25Z7001063,2025/10/02,上櫃,,RWSCCA,
700107,茂達元大54購01,TW25Z7001071,2025/10/02,上櫃,,RWSCCA,
700108,原相元大54購01,TW25Z7001089,2025/10/02,上櫃,,RWSCCA,
700109,鈊象元大54購04,TW25Z7001097,2025/10/02,上櫃,,RWSCCA,
700110,鈊象元大54購05,TW25Z7001105,2025/10/02,上櫃,,RWSCCA,
700111,萬潤元大54購02,TW25Z7001113,2025/10/02,上櫃,,RWSCCA,
700112,雙鴻元大54購17,TW25Z7001121,2025/10/02,上櫃,,RWSCCA,
700113,雙鴻元大5A購01,TW25Z7001139,2025/10/02,上櫃,,RWSCCA,
700114,譜瑞元大54購14,TW25Z7001147,2025/10/02,上櫃,,RWSCCA,
700115,譜瑞元大54購15,TW25Z7001154,2025/10/02,上櫃,,RWSCCA,
70974U,精測群益4A售01,TW24Z70974U8,2024/12/03,上櫃,,RWSCPE,
71031U,信驊群益4C售01,TW24Z71031U6,2024/12/18,上櫃,,RWSCPE,
71071U,信驊群益4B售01,TW25Z71071U1,2025/01/02,上櫃,,RWSCPE,
71096U,加百裕國票4A售01,TW25Z71096U8,2025/01/15,上櫃,,RWSCPE,
71115U,新復興元富4A售02,TW25Z71115U6,2025/01/16,上櫃,,RWSCPE,
71154U,雙鴻元大4A售01,TW25Z71154U5,2025/02/04,上櫃,,RWSCPE,
71163U,信驊群益4C售02,TW25Z71163U6,2025/02/04,上櫃,,RWSCPE,
71174U,雙鴻凱基4A售02,TW25Z71174U3,2025/02/06,上櫃,,RWSCPE,
71177U,華星光永豐4A售02,TW25Z71177U6,2025/02/06,上櫃,,RWSCPE,
71183U,新復興元大4B售01,TW25Z71183U4,2025/02/10,上櫃,,RWSCPE,
71192U,新復興國票4B售01,TW25Z71192U5,2025/02/11,上櫃,,RWSCPE,
71195U,系微元富52售01,TW25Z71195U8,2025/02/12,上櫃,,RWSCPE,
71198U,雙鴻群益4A售02,TW25Z71198U2,2025/02/13,上櫃,,RWSCPE,
71208U,康全電元大4A售01,TW25Z71208U9,2025/02/14,上櫃,,RWSCPE,
71214U,振曜永豐4B售01,TW25Z71214U7,2025/02/17,上櫃,,RWSCPE,
71218U,新漢國票4A售02,TW25Z71218U8,2025/02/17,上櫃,,RWSCPE,
71238U,新復興永豐4A售01,TW25Z71238U6,2025/02/19,上櫃,,RWSCPE,
71239U,旺矽統一4A售03,TW25Z71239U4,2025/02/19,上櫃,,RWSCPE,
71245U,新復興富邦4A售01,TW25Z71245U1,2025/02/20,上櫃,,RWSCPE,
71251U,弘塑國票4A售02,TW25Z71251U9,2025/02/25,上櫃,,RWSCPE,
71252U,新復興國票4C售01,TW25Z71252U7,2025/02/25,上櫃,,RWSCPE,
71256U,新復興永豐4A售02,TW25Z71256U8,2025/02/26,上櫃,,RWSCPE,
71258U,昇達科國票52售01,TW25Z71258U4,2025/02/27,上櫃,,RWSCPE,
