排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價
1,1605,華新,"105,791,989","49,880",37.35,38.8,37.35,38.1,+,1.0,38.1,38.15
2,"=""00900""",富邦特選高股息30,"94,548,041","26,677",11.0,11.05,10.98,11.03,-,0.35,11.02,11.03
3,1524,耿鼎,"86,885,127","32,387",26.8,28.3,26.5,26.55,-,0.1,26.55,26.6
4,2603,長榮,"76,747,896","41,746",98.0,100.0,98.0,98.3,+,1.2,98.3,98.4
5,"=""00637L""",元大滬深300正2,"75,458,635","9,737",17.14,17.44,16.87,17.33,+,0.21,17.32,17.33
6,2409,友達,"72,670,489","29,063",16.0,16.2,15.85,16.15,+,0.3,16.1,16.15
7,2498,宏達電,"72,508,897","33,141",62.5,65.5,62.2,65.5,+,3.0,65.5,65.6
8,"=""00632R""",元大台灣50反1,"71,059,747","3,227",5.61,5.62,5.59,5.6,-,0.01,5.59,5.6
9,6133,金橋,"68,052,346","23,145",23.35,25.1,23.1,25.1,+,2.25,25.1,0.0
10,3481,群創,"55,930,327","12,572",11.8,11.9,11.7,11.85,+,0.2,11.8,11.85
11,"=""00673R""",期元大S&P原油反1,"55,438,694","3,695",8.69,8.76,8.67,8.72,+,0.16,8.72,8.73
12,1795,美時,"55,288,146","33,633",162.0,171.0,160.0,168.0,+,6.5,168.0,168.5
13,2618,長榮航,"54,121,183","13,163",32.1,32.5,32.05,32.2,+,0.1,32.2,32.25
14,6770,力積電,"49,615,554","15,528",35.55,36.45,35.35,36.3,+,0.8,36.3,36.35
15,3047,訊舟,"49,482,573","14,494",17.4,18.0,17.15,18.0,+,0.6,17.95,18.0
16,2313,華通,"49,375,281","26,159",52.0,52.0,48.75,48.8,-,3.2,48.8,48.85
17,2303,聯電,"48,633,823","22,454",43.15,43.2,42.65,42.85,-,0.2,42.85,42.9
18,1760,寶齡富錦,"46,048,256","28,207",138.5,148.5,135.5,141.0,+,3.5,140.5,141.0
19,"=""00878""",國泰永續高股息,"45,753,825","16,442",17.12,17.14,17.09,17.11,-,0.01,17.1,17.11
20,2331,精英,"42,286,650","15,616",24.95,25.7,24.4,25.7,+,1.05,25.65,25.7
說明:,,,,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,,,,
